"","unique_titles","n_words_s_y","n_words","series","year","genre"
"1","$#*! My Dad Says_2010",34317,3295,"$#*! My Dad Says","2010","Scripted"
"2","$#*! My Dad Says_2011",21607,3151,"$#*! My Dad Says","2011","Scripted"
"3","'Allo 'Allo!_1984",22578,3819,"'Allo 'Allo!","1984","Scripted"
"4","'Allo 'Allo!_1985",25026,2768,"'Allo 'Allo!","1985","Scripted"
"5","'Allo 'Allo!_1986",11646,3893,"'Allo 'Allo!","1986","Scripted"
"6","'Allo 'Allo!_1987",23120,2706,"'Allo 'Allo!","1987","Scripted"
"7","'Allo 'Allo!_1988",49869,2648,"'Allo 'Allo!","1988","Scripted"
"8","'Allo 'Allo!_1989",46123,2536,"'Allo 'Allo!","1989","Scripted"
"9","'Allo 'Allo!_1991",37621,3664,"'Allo 'Allo!","1991","Scripted"
"10","'Allo 'Allo!_1992",44273,2788,"'Allo 'Allo!","1992","Scripted"
"11","'Til Death_2006",28522,3069,"'Til Death","2006","Scripted"
"12","'Til Death_2007",55854,2543,"'Til Death","2007","Scripted"
"13","'Til Death_2008",26039,2376,"'Til Death","2008","Scripted"
"14","'Til Death_2009",2717,2717,"'Til Death","2009","Scripted"
"15","'Til Death_2010",86136,2514,"'Til Death","2010","Scripted"
"16","*Loosely Exactly Nicole_2016",6806,3261,"*Loosely Exactly Nicole","2016","Scripted"
"17","10 Things I Hate About You_2009",27506,2904,"10 Things I Hate About You","2009","Scripted"
"18","10 Things I Hate About You_2010",30167,3116,"10 Things I Hate About You","2010","Scripted"
"19","100 Greatest Discoveries_2004",11497,5359,"100 Greatest Discoveries","2004","Documentary"
"20","100 Greatest Discoveries_2005",27198,5755,"100 Greatest Discoveries","2005","Documentary"
"21","100 Questions_2010",14095,2881,"100 Questions","2010","Scripted"
"22","1000 Ways to Die_2010",27720,2604,"1000 Ways to Die","2010","Documentary"
"23","1000 Ways to Die_2011",44125,2468,"1000 Ways to Die","2011","Documentary"
"24","1000 Ways to Die_2012",2726,2726,"1000 Ways to Die","2012","Documentary"
"25","11.22.63_2016",35910,4389,"11.22.63","2016","Scripted"
"26","12 Monkeys_2015",45552,3325,"12 Monkeys","2015","Scripted"
"27","12 Monkeys_2016",47029,3535,"12 Monkeys","2016","Scripted"
"28","12 Monkeys_2017",32234,2781,"12 Monkeys","2017","Scripted"
"29","12 oz. Mouse_2005",5756,709,"12 oz. Mouse","2005","Animation"
"30","13 Reasons Why_2017",69551,4556,"13 Reasons Why","2017","Scripted"
"31","15 Storeys High_2002",18573,2880,"15 Storeys High","2002","Scripted"
"32","15 Storeys High_2004",19333,2725,"15 Storeys High","2004","Scripted"
"33","1600 Penn_2012",3336,3336,"1600 Penn","2012","Scripted"
"34","1600 Penn_2013",42164,3551,"1600 Penn","2013","Scripted"
"35","18 to Life_2010",37852,3020,"18 to Life","2010","Scripted"
"36","18 to Life_2011",18310,3283,"18 to Life","2011","Scripted"
"37","19-févr_2014",23244,3873,"19-févr","2014","Scripted"
"38","19-févr_2015",45128,3565,"19-févr","2015","Scripted"
"39","19-févr_2016",8279,4309,"19-févr","2016","Scripted"
"40","2 Broke Girls_2011",41099,3048,"2 Broke Girls","2011","Scripted"
"41","2 Broke Girls_2012",79742,6571,"2 Broke Girls","2012","Scripted"
"42","2 Broke Girls_2013",78839,3372,"2 Broke Girls","2013","Scripted"
"43","2 Broke Girls_2014",59606,3148,"2 Broke Girls","2014","Scripted"
"44","2 Broke Girls_2015",58392,2874,"2 Broke Girls","2015","Scripted"
"45","2 Broke Girls_2016",79941,3162,"2 Broke Girls","2016","Scripted"
"46","2 Broke Girls_2017",34121,2774,"2 Broke Girls","2017","Scripted"
"47","24 Hours in Police Custody_2015",13320,7040,"24 Hours in Police Custody","2015","Documentary"
"48","24: Legacy_2016",4502,4502,"24: Legacy","2016","Scripted"
"49","24: Legacy_2017",44684,4584,"24: Legacy","2017","Scripted"
"50","24: Live Another Day_2014",53981,4134,"24: Live Another Day","2014","Scripted"
"51","24_2001",21717,3191,"24","2001","Scripted"
"52","24_2002",102952,4198,"24","2002","Scripted"
"53","24_2003",103530,4557,"24","2003","Scripted"
"54","24_2004",69152,5051,"24","2004","Scripted"
"55","24_2005",107141,4805,"24","2005","Scripted"
"56","24_2006",108357,5519,"24","2006","Scripted"
"57","24_2007",116716,5106,"24","2007","Scripted"
"58","24_2009",120350,4864,"24","2009","Scripted"
"59","24_2010",119887,5002,"24","2010","Scripted"
"60","30 Rock_2006",26019,2951,"30 Rock","2006","Scripted"
"61","30 Rock_2007",70756,2777,"30 Rock","2007","Scripted"
"62","30 Rock_2008",38030,3108,"30 Rock","2008","Scripted"
"63","30 Rock_2009",76454,3193,"30 Rock","2009","Scripted"
"64","30 Rock_2010",80248,3634,"30 Rock","2010","Scripted"
"65","30 Rock_2011",46398,3582,"30 Rock","2011","Scripted"
"66","30 Rock_2012",102708,3620,"30 Rock","2012","Scripted"
"67","30 Rock_2013",17664,3534,"30 Rock","2013","Scripted"
"68","32 Brinkburn Street_2011",11879,3955,"32 Brinkburn Street","2011","Scripted"
"69","37 Days_2014",20733,6796,"37 Days","2014","Scripted"
"70","3rd Rock from the Sun_1996",80927,2922,"3rd Rock from the Sun","1996","Scripted"
"71","3rd Rock from the Sun_1997",66017,2506,"3rd Rock from the Sun","1997","Scripted"
"72","3rd Rock from the Sun_1998",32605,2708,"3rd Rock from the Sun","1998","Scripted"
"73","3rd Rock from the Sun_1999",39357,2370,"3rd Rock from the Sun","1999","Scripted"
"74","3rd Rock from the Sun_2000",11050,2713,"3rd Rock from the Sun","2000","Scripted"
"75","3rd Rock from the Sun_2001",2478,2478,"3rd Rock from the Sun","2001","Scripted"
"76","500 Nations_1995",35538,5172,"500 Nations","1995","Scripted"
"77","55 Degrees North_2004",42365,6702,"55 Degrees North","2004","Scripted"
"78","55 Degrees North_2005",56101,6923,"55 Degrees North","2005","Scripted"
"79","5ive Days to Midnight_2004",14386,2913,"5ive Days to Midnight","2004","Scripted"
"80","60 Days In_2017",16636,3479,"60 Days In","2017","Reality-TV"
"81","666 Park Avenue_2012",35605,3763,"666 Park Avenue","2012","Scripted"
"82","666 Park Avenue_2013",15459,4094,"666 Park Avenue","2013","Scripted"
